Accession ID	Virus name	Location	Collection date	Originating lab	Submitting lab	Authors
EPI_ISL_412981	hCoV-19/Wuhan/HBCDC-HB-05/2020	Asia / China / Hubei / Wuhan	2020-01-18	CR&WISCO GENERAL HOSPITAL	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412982	hCoV-19/Wuhan/HBCDC-HB-06/2020	Asia / China / Hubei / Wuhan	2020-02-07	Wuhan Lung Hospital	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412983	hCoV-19/Tianmen/HBCDC-HB-07/2020	Asia / China / Hubei / Tianmen	2020-02-08	Tianmen Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, YiFa Zhu, Yangyang Tao,Xierong Li,Yongzhong Jiang."
EPI_ISL_412975	hCoV-19/Australia/NSW05/2020	Oceania / Australia / New South Wales / Sydney	2020-02-28	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Eden J-S, Carter I, Rahman H, Holmes EC, Rockett R, OSullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group"
EPI_ISL_408486	hCoV-19/Jiangxi/IVDC-JX-002/2020	Asia / China / Jiangxi / Pingxiang	2020-01-11	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Yong Shi, Wenling Wang, Peihua Niu, Roujian Lu, Jianxiong Li, Xiang Zhao, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408489	hCoV-19/Taiwan/NTU01/2020	Asia / Taiwan / Taipei	2020-01-31	"Department of Laboratory Medicine, National Taiwan University Hospital"	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"	"Shiou-Hwei Yeh, You-Yu Lin, Ya-Yun Lai, Chiao-Ling Li, Shan-Chwen Chang, Pei-Jer Chen, Sui-Yuan Chang"
EPI_ISL_408488	hCoV-19/Jiangsu/IVDC-JS-001/2020	Asia / China / Jiangsu / Huaian	2020-01-19	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Shenjiao Wang, Wenling Wang, Peihua Niu, Roujian Lu, Kangchen Zhao, Xiang Zhao, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_412978	hCoV-19/Wuhan/HBCDC-HB-02/2020	Asia / China / Hubei / Wuhan	2020-01-17	The Central Hospital Of Wuhan	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412979	hCoV-19/Wuhan/HBCDC-HB-03/2020	Asia / China / Hubei / Wuhan	2020-01-18	"Union Hospital of Tongji Medical College, Huazhong University of Science and Technology"	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_408482	hCoV-19/Shandong/IVDC-SD-001/2020	Asia / China / Shandong / Qingdao	2020-01-19	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Zhaoguo Wang, Xiang Zhao, Wenling Wang, Peihua Niu, Roujian Lu, Ti Liu, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408484	hCoV-19/Sichuan/IVDC-SC-001/2020	Asia / China / Sichuan / Chengdu	2020-01-15	"National Institute for Viral Disease Control and Prevention, China CDC "	"National Institute for Viral Disease Control & Prevention, CCDC"	"Wenjie Tan, Jianan Xu, Wenling Wang, Peihua Niu, Roujian Lu, Huiping Yang, Xiang Zhao, Baoying Huang, Li Zhao, Fei Ye, Wenbo Xu, George F. Gao, Guizhen Wu "
EPI_ISL_408009	hCoV-19/USA/CA4/2020	North America / USA / California	2020-01-29	California Department of Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention "	"Krista Queen, Jing Zhang, Yan Li, Ying Tao, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_408008	hCoV-19/USA/CA3/2020	North America / USA / California	2020-01-29	California Department of Health	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"	"Krista Queen, Jing Zhang, Yan Li, Ying Tao, Anna Uehara, Clinton Paden, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_407988	hCoV-19/Singapore/3/2020	Asia / Singapore	2020-02-01	National Centre for Infectious Diseases	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, David CB Lye, Yee Sin Leo, Barnaby E Young, Yvonne CF Su, Linfa Wang, Gavin JD Smith"
EPI_ISL_407987	hCoV-19/Singapore/2/2020	Asia / Singapore	2020-01-25	Singapore General Hospital	"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"	"Danielle E Anderson, Martin Linster, Yan Zhuang, Jayanthi Jayakumar, Kian Sing Chan, Lynette LE Oon, Jenny GH Low, Yvonne CF Su, Linfa Wang, Gavin JD Smith"
EPI_ISL_407976	hCoV-19/Belgium/GHB-03021/2020	Europe / Belgium / Leuven	2020-02-03	"KU Leuven, Clinical and Epidemiological Virology"	"KU Leuven, Clinical and Epidemiological Virology"	"Bert Vanmechelen, Elke Wollants, Annabel Rector, Els Keyaerts, Lies Laenen, Marc Van Ranst, and Piet Maes"
EPI_ISL_410719	hCoV-19/Singapore/11/2020	Asia / Singapore	2020-02-02	National Public Health Laboratory	National Public Health Laboratory	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_410718	hCoV-19/Australia/QLD04/2020	Oceania / Australia / Queensland / Gold Coast	2020-02-05	Pathology Queensland	Public Health Virology Laboratory	"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_410717	hCoV-19/Australia/QLD03/2020	Oceania / Australia / Queensland / Gold Coast	2020-02-05	Pathology Queensland	Public Health Virology Laboratory	"Ben Huang, Alyssa Pyke, Amanda De Jong, Andrew Van Den Hurk, Carmel Taylor, David Warrilow, Doris Genge, Elisabeth Gamez, Glen Hewitson, Ian Maxwell Mackay, Inga Sultana, Jamie McMahon, Jean Barcelon, Judy Northill, Mitchell Finger, Natalie Simpson, Neelima Nair, Peter Burtonclay, Peter Moore, Sarah Wheatley, Sean Moody, Sonja Hall-Mendelin, Timothy Gardam, and Frederick Moore."
EPI_ISL_410716	hCoV-19/Singapore/10/2020	Asia / Singapore	2020-02-04	"National Public Health Laboratory, National Centre for Infectious Diseases "	"National Centre for Infectious Diseases, National Centre for Infectious Diseases"	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_410715	hCoV-19/Singapore/9/2020	Asia / Singapore	2020-02-04	"National Public Health Laboratory, National Centre for Infectious Diseases "	"National Public Health Laboratory, National Centre for Infectious Diseases "	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_410714	hCoV-19/Singapore/8/2020	Asia / Singapore	2020-02-03	"National Public Health Laboratory, National Centre for Infectious Diseases"	"National Public Health Laboratory, National Centre for Infectious Diseases"	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_410713	hCoV-19/Singapore/7/2020	Asia / Singapore	2020-01-27	"National Public Health Laboratory, National Centre for Infectious Diseases"	"National Public Health Laboratory, National Centre for Infectious Diseases"	"Octavia S, Mak TM, Cui L, Lin RTP"
EPI_ISL_406223	hCoV-19/USA/AZ1/2020	North America / USA / Arizona / Phoenix	2020-01-22	Arizona Department of Health Services	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"	"Ying Tao, Clinton R. Paden, Krista Queen, Anna Uehara, Yan Li, Jing Zhang, Xiaoyan Lu, Brian Lynch, Senthil Kumar K. Sakthivel, Brett L. Whitaker, Shifaq Kamili, Lijuan Wang, Janna' R. Murray, Susan I. Gerber, Stephen Lindstrom, Suxiang Tong"
EPI_ISL_412030	hCoV-19/Hong Kong/VB20026565/2020	Asia / Hong Kong	2020-02-01	Hong Kong Department of Health	"School of Public Health, The University of Hon g Kong"	"Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris"
EPI_ISL_412029	hCoV-19/Hong Kong/VB20024950/2020	Asia / Hong Kong	2020-01-30	Hong Kong Department of Health	The University of Hong Kong	"Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris"
EPI_ISL_404895	hCoV-19/USA/WA1/2020	North America / USA / Washington / Snohomish County	2020-01-19	Providence Regional Medical Center	"Division of Viral Diseases, Centers for Disease Control and Prevention"	"Queen,K., Tao,Y., Li,Y., Paden,C.R., Lu,X., Zhang,J., Gerber,S.I., Lindstrom,S., Tong,S."
EPI_ISL_412028	hCoV-19/Hong Kong/VM20001061/2020	Asia / Hong Kong	2020-01-22	Hong Kong Department of Health	"School of Public Health, The University of Hon g Kong"	"Dominic N.C. Tsang, Daniel K.W. Chu, Leo L.M. Poon, Malik Peiris"
EPI_ISL_403935	hCoV-19/Guangdong/20SF025/2020	Asia / China / Guangdong / Shenzhen	2020-01-15	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403936	hCoV-19/Guangdong/20SF028/2020	Asia / China / Guangdong / Zhuhai	2020-01-17	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403933	hCoV-19/Guangdong/20SF013/2020	Asia / China / Guandong / Shenzhen	2020-01-15	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403934	hCoV-19/Guangdong/20SF014/2020	Asia / China / Guandong / Shenzhen	2020-01-15	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403937	hCoV-19/Guangdong/20SF040/2020	Asia / China / Guangdong / Zhuhai	2020-01-18	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403928	hCoV-19/Wuhan/IPBCAMS-WH-05/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_403929	hCoV-19/Wuhan/IPBCAMS-WH-04/2019	Asia / China / Hubei / Wuhan	2019-12-30	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_410218	hCoV-19/Taiwan/NTU02/2020	Asia / Taiwan / Taipei	2020-02-05	"Department of Laboratory Medicine, National Taiwan University Hospital"	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"	"Shiou-Hwei Yeh, You-Yu Lin, Ya-Yun Lai, Chiao-Ling Li, Shan-Chwen Chang, Pei-Jer Chen, Sui-Yuan Chang"
EPI_ISL_403931	hCoV-19/Wuhan/IPBCAMS-WH-02/2019	Asia / China / Hubei / Wuhan	2019-12-30	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_403932	hCoV-19/Guangdong/20SF012/2020	Asia / China / Guandong / Shenzhen	2020-01-14	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	"Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention"	"Min Kang, Jie Wu, Jing Lu, Tao Liu, Baisheng Li, Shujiang Mei, Feng Ruan, Lifeng Lin, Changwen Ke, Haojie Zhong, Yingtao Zhang, Lirong Zou, Xuguang Chen, Qi Zhu, Jianpeng Xiao, Jianxiang Geng, Zhe Liu, Jianxiong Hu, Weilin Zeng, Xing Li, Yuhuang Liao, Xiujuan Tang, Songjian Xiao, Ying Wang, Yingchao Song, Xue Zhuang, Lijun Liang, Guanhao He, Huihong Deng, Tie Song, Jianfeng He, Wenjun Ma"
EPI_ISL_403930	hCoV-19/Wuhan/IPBCAMS-WH-03/2019	Asia / China / Hubei / Wuhan	2019-12-30	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"	"Lili Ren, Jianwei Wang, Qi Jin, Zichun Xiang, Zhiqiang Wu, Chao Wu, Yiwei Liu"
EPI_ISL_407084	hCoV-19/Japan/AI/I-004/2020	Asia / Japan / Aichi	2020-01-25	"Department of Virology III, National Institute of Infectious Diseases"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Shutoku Matsuyama, Naganori Nao, Kazuya Shirato, Shinji Watanabe, Makoto Takeda, Makoto Kuroda"
EPI_ISL_403962	hCoV-19/Nonthaburi/61/2020	Asia / Thailand / Nonthaburi	2020-01-08	Bamrasnaradura Hospital	"1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand"	"Pilailuk,Okada; Siripaporn,Phuygun; Thanutsapa,Thanadachakul; Supaporn,Wacharapluesadee; Sittiporn,Parnmen; Warawan,Wongboot; Sunthareeya,Waicharoen; Rome,Buathong; Malinee,Chittaganpitch; Nanthawan,Mekha"
EPI_ISL_403963	hCoV-19/Nonthaburi/74/2020	Asia / Thailand / Nonthaburi	2020-01-13	Bamrasnaradura Hospital	"1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand"	"Pilailuk,Okada; Siripaporn,Phuygun; Thanutsapa,Thanadachakul; Supaporn,Wacharapluesadee; Sittiporn,Parnmen; Warawan,Wongboot; Sunthareeya,Waicharoen; Rome,Buathong; Malinee,Chittaganpitch; Nanthawan,Mekha"
EPI_ISL_407073	hCoV-19/England/02/2020	Europe / United Kingdom / England	2020-01-29	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"	"Monica Galiano, Shahjahan Miah, Richard Myers, Angie Lackenby, Omolola Akinbami, Tiina Talts, Leena Bhaw, Kirstin Edwards, Jonathan Hubb, Joanna Ellis, Maria Zambon."
EPI_ISL_412898	hCoV-19/Wuhan/HBCDC-HB-02/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_412899	hCoV-19/Wuhan/HBCDC-HB-03/2019	Asia / China / Hubei / Wuhan	2019-12-30	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Yongzhong Jiang."
EPI_ISL_407079	hCoV-19/Finland/1/2020	Europe / Finland / Lapland	2020-01-29	Lapland Central Hospital	"Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland"	"Teemu Smura, Suvi Kuivanen, Hannimari Kallio-Kokko, Olli Vapalahti"
EPI_ISL_412459	hCoV-19/Jingzhou/HBCDC-HB-01/2020	Asia / China / Hubei / Jingzhou	2020-01-08	Jingzhou Center for Disease Control and Prevention	Hubei Provincial Center for Disease Control and Prevention	"Bin Fang, Xiang Li, Xiao Yu, Linlin Liu, Bo Yang, Faxian Zhan, Guojun Ye, Xixiang Huo, Junqiang Xu, Bo Yu, Kun Cai, Jing Li, Maoyi Chen,Jie Hu, Chunlin Mao, Yongzhong Jiang."
EPI_ISL_408978	hCoV-19/Wuhan/WH05/2020	Asia / China / Hubei / Wuhan	2020-02-07	Wuhan Fourth Hospital 	Beijing Genomics Institute (BGI) 	Weijun Chen 
EPI_ISL_406798	hCoV-19/Wuhan/WH01/2019	Asia / China / Hubei / Wuhan	2019-12-26	General Hospital of Central Theater Command of People's Liberation Army of China	"BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China"	"Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu"
EPI_ISL_408977	hCoV-19/Australia/NSW03/2020	Oceania / Australia / New South Wales / Sydney	2020-01-25	"Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick"	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	"Eden J-S, Carter I, Rahman H, Rawlinson W, Holmes EC, Rockett R, OSullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_408976	hCoV-19/Australia/NSW02/2020	Oceania / Australia / New South Wales / Sydney	2020-01-22	Centre for Infectious Diseases and Microbiology Laboratory Services	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	"Rockett R, Sadsad R, Eden J-S, Carter I, Rahman H, Holmes EC, OSullivan MV, Sintchenko V, Chen SC, Maddocks S, Kok J and Dwyer DE for the 2019-nCoV Study Group*"
EPI_ISL_408515	hCoV-19/Wuhan/IVDC-HB-envF13-21/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Viral Disease Control and Prevention, China CDC"	"Institute of Viral Disease Control and Prevention, China CDC"	"William J. Liu, Peipei Liu, Xiang Zhao, Peihua Niu, Yingze Zhao, Wenwen Lei, Ziqian Xu, Shumei Zou, Wei Zhen, Beiwei Ye, Mengjie Yang, Weifeng Shi, Roujian Lu, Wenjie Tan, Zhixiao Chen, Yuchao Wu, Juan Song, Weimin Zhou, Dayan Wang, Jun Han, Wenbo Xu, George F. Gao, Guizhen Wu"
EPI_ISL_408514	hCoV-19/Wuhan/IVDC-HB-envF13-20/2020	Asia / China / Hubei / Wuhan	2020-01-01	"Institute of Viral Disease Control and Prevention, China CDC"	"Institute of Viral Disease Control and Prevention, China CDC"	"William J. Liu, Peipei Liu, Xiang Zhao, Peihua Niu, Yingze Zhao, Wenwen Lei, Ziqian Xu, Shumei Zou, Wei Zhen, Beiwei Ye, Mengjie Yang, Weifeng Shi, Roujian Lu, Wenjie Tan, Zhixiao Chen, Yuchao Wu, Juan Song, Weimin Zhou, Dayan Wang, Jun Han, Wenbo Xu, George F. Gao, Guizhen Wu"
EPI_ISL_405839	hCoV-19/Shenzhen/HKU-SZ-005/2020	Asia / China / Guangdong / Shenzhen	2020-01-11	The University of Hong Kong - Shenzhen Hospital	"Li Ka Shing Faculty of Medicine, The University of Hong Kong"	"Chan,J.F.-W., Yuan,S., Kok,K.H., To,K.K.-W., Chu,H., Yang,J., Xing,F., Liu,J., Yip,C.C.-Y., Poon,R.W.-S., Tsai,H.W., Lo,S.K.-F., Chan,K.H., Poon,V.K.-M., Chan,W.M., Ip,J.D., Cai,J.P., Cheng,V.C.-C., Chen,H., Hui,C.K.-M. and Yuen,K.Y."
EPI_ISL_413459	hCoV-19/Japan/TK/20-31-3/2020	Asia / Japan / Tokyo	2020-02-20	"Department of Pathology, Toshima Hospital"	"Pathogen Genomics Center, National Institute of Infectious Diseases"	"Tsuyoshi Sekizuka, Kentaro Itokawa, Takuya Adachi, Masahiro Sano, Jun Yamazaki, Ippei Miyamoto, Haruka Nishioka, Ja-Mun Chong, Noriko Nakajima, Yuko Sato, Minoru Tobiume, Harutaka Katano, Tadaki Suzuki, Makoto Kuroda"
EPI_ISL_413455	hCoV-19/USA/WA4-UW2/2020	North America / USA / Washington	2020-02-28	Washington State Public Health Lab	University of Washington Virology Lab	"Pavitra Roychoudhury, Arun Nalla, Hong Xie, Keith Jerome, Alexander Greninger"
EPI_ISL_413485	hCoV-19/Anhui/SZ005/2020	Asia / China / Anhui / Suzhou	2020-01-24	"Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention"	"Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention"	"Weiwei Li,Jun He,Yong Sun,Junling Yu,Qingqing Chen,Yuan Yuan,Yonglin Shi,Zhuhui Zhang,Yinglu Ge,Weidong Li,Bin Su,Zhirong Liu"
EPI_ISL_413488	hCoV-19/Germany/NRW-01/2020	Europe / Germany / North Rhine Westphalia / Heinsberg District	2020-02-28	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"	"Ortwin Adams, Marcel Andree, Alexander Dilthey, Torsten Feldt, Sandra Hauka, Torsten Houwaart, Bjrn-Erik Jensen, Detlef Kindgen-Milles, Malte Kohns Vasconcelos, Klaus Pfeffer, Tina Senff, Daniel Strelow, Jrg Timm, Andreas Walker, Tobias Wienemann"
EPI_ISL_413489	hCoV-19/Italy/UniSR1/2020	Europe / Italy / Lombardy / Milan	2020-03-03	"Laboratorio di Microbiologia e Virologia, Universit Vita-Salute San Raffaele, Milano"	"Laboratorio di Microbiologia e Virologia, Universit Vita-Salute San Raffaele, Milano"	"R.A Diotti, E. Criscuolo, M. Castelli, V. Caputo, R. Ferrarese, M. Sampaolo, E. Boeri, I. Negri, V. Amato, G. Lo Raso, C. Di Resta, R. Burioni, M. Clementi, N. Mancini & N. Clementi"
EPI_ISL_413020	hCoV-19/Switzerland/1000477377/2020	Europe / Switzerland / Zurich	2020-02-27	"Department of Internal Medicine, Triemli Hospital"	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jrg Bni, Michael Huber, Gerhard Eich, Alexandra Trkola"
EPI_ISL_413021	hCoV-19/Switzerland/1000477757/2020	Europe / Switzerland / Zurich	2020-02-29	Klinik Hirslanden Zurich	"Institute of Medical Virology, University of Zurich"	"Stefan Schmutz, Maryam Zaheri, Verena Kufner, Gabriela Ziltener, Patrick Redli, Fiona Steiner, Jon Huder, Riccarda Capaul, Andrea Zbinden, Jrg Bni, Michael Huber, Christian Ruef, Alexandra Trkola"
